Date,Open,High,Low,Close,Volume,Currency,symbol,Name,Exchange,Sector,Industry,Last,Chg. %,Market Cap
2019-05-02,1173.33,1204.59,1165.0,1167.99,2053,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-03,1166.51,1189.74,1166.51,1183.47,14308,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-07,1187.49,1194.13,1172.5,1180.19,525,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-08,1177.29,1184.05,1176.33,1179.18,336,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-09,1163.37,1165.87,1154.64,1157.93,1078,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-10,1169.96,1174.0,1146.47,1146.47,298,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-13,1145.19,1153.67,1127.34,1130.15,1240,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-14,1142.32,1145.24,1131.63,1139.79,463,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-15,1123.0,1168.58,1123.0,1154.44,859,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-16,1170.8,1193.49,1169.66,1191.03,1625,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-17,1174.42,1185.98,1172.93,1184.85,1173,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
2019-05-20,1149.33,1152.36,1138.84,1145.26,1163,USD,0RIH,Alphabet A,London,Communication Services,Interactive Media & Services,2957.52,-0.0024,1.98T
